'Female, ACT','Female, GPA','Male, ACT','Male, GPA'
23,1.833,33,3.333
28,4,17,2.835
22,3.057,26,3.249
20,4,25,2.29
23,3.55,20,2.178
19,2.583,23,2.835
20,3.165,19,2.364
29,3.398,21,3
27,3.868,22,3.934
18,2.918,29,3.533
17,2.36,16,3.313
15,3,13,3.053
22,3.6,16,2.6
20,2.665,27,2
17,2.934,19,2.5
21,3.422,22,4
18,3.002,33,2.833
17,3,17,3.438
25,4,26,2.418
25,3.472,,
25,3.55,,
