'State','Male','Female'
'KY',1451596,1481670
'DE',304455,320017
'MO',2049929,2112028
'NH',515482,511064
'AR',1011620,1034419
'NY',5907259,5462021
'MD',1810321,1927526
'ID',517753,509749
'ND',237760,232971
'RI',367529,376264
'DC',194814,201379
'GA',2952451,3181847
'SD',294381,294165
'MT',373562,362191
'KS',1002772,1015447
'MI',3477277,3581678
'VT',267519,266976
'WI',2046473,2019800
